Date,Title,Classification
20200402,酵素の仕組みを再現した硝酸還元触媒－窒素酸化物の無害化技術へ期待－,理化学研究所プレスリリース
20191104,触媒活性の予測技術,日刊工業新聞
20191021,触媒探索の理論拡張　白金代替に銅やニッケル,化学工業日報
20191018,触媒探索に向けた理論の拡張－豊富に存在する元素を用いた触媒開発に貢献－,理化学研究所プレスリリース
20191018,Scientists recalculate the optimum binding energy for heterogeneous catalysis,理化学研究所プレスリリース
2019XXXX,Revisiting catalyst calculations after a century,RIKEN Research (2019 Winter Issue)
2019XXXX,Using an overlooked catalyst to produce hydrogen,RIKEN Research (2019 Fall Issue)
20190607,Manganese water-splitting catalyst shows promise for future hydrogen economy,RIKEN Research Highlight
20190322,安定して水を電気分解　理研などマンガン触媒開発,化学工業日報
20190319,水を電気分解し続けるマンガン触媒の動作条件を発見－希少元素に依存しない水素製造へ期待－,理化学研究所プレスリリース
2018XXXX,Taking steps to rebalance the nitrogen cycle,RIKEN Research (2018 Fall Issue)
20160608,A nature-inspired electrocatalyst holds promise for denitrification,RIKEN Research Highlight
20180522,生体酵素遺伝子から人工触媒の設計指針,化学工業日報
20180518,人工触媒の開発指針　生体酵素の遺伝情報をもとに獲得,科学新聞
20180515,遺伝情報に学ぶ化学触媒設計－触媒化学と遺伝学の融合によるデータ駆動型触媒探索へ－,理化学研究所プレスリリース
20180329,温和な環境で働く人工脱窒触媒－微生物の仕組みに学ぶ環境浄化技術－,理化学研究所プレスリリース
